sit,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29
119,أحدكم,някой,netko,někdo,nogen,,κάποιος,someone,alguien,keegi,,quelqu'un,,netko,valaki,seseorang,qualcun,誰,iemand,noen,ktoś,alguém,cineva,кто-нибудь,kdo,netko,någon,bir,ai,人
120,شخص,човек,netko,někdo,en,jemand,κάποιος,someone,alguien,keegi,joku,quelqu'un,מישהו,netko,valójában,seseorang,qualcun,人,iemand,noen,,alguém,altcineva,кто,nekaj,netko,någon,bir,kẻ,人
121,شخص,някой,netko,někdo,nogen,brauche,κάποιος,someone,,keegi,joku,quelqu'un,מישהו,netko,valaki,orang,qualcun,奴,iemand,noen,ktoś,alguém,cineva,человек,kdo,netko,någon,bir,ai,
122,شخص,някой,ono,,en,jemand,κάποιου,someone,alguien,keegi,,quelqu'un,מישהו,ko,aki,seseorang,qualcun,誰,iemand,noen,ktoś,alguém,cuiva,то,nekaj,netko,någon,bir,,人
123,أحد,човек,netko,pána,nogen,jemand,κάποιος,someone,alguien,keegi,,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,誰,iemand,noen,ktoś,alguém,cineva,кто-то,nekomu,netko,någon,bir,ai,一起来
124,وآخذه,ден,jednog,jednoho,dag,tages,θα΄ρθω,someday,algún,ühel päeval,jonakin,jour,.יום,jednog,nap érte,suatu,,,eens,dag,kiedyś,dia,într-o zi,однажды,nekega dne,једног,dag,gün almaya gelirim,ngày,有一 天
125,سأعيش,ден,jednog,jednou,skønne,tages,μέρα,someday,,ükspäev,jonain,jour,מן הימים,jednog,napon,suatu,giorno,,eens,dag,,dia,,когда-нибудь,nekoč,jednog dana,vacker dag,gün,ngày,有一 天
126,يؤذيهم,,,nějaký,skader,verbirgst,κάπως,somehow,alguna,varjad,salaisuudestasi,caches,איכשהו,naškodi,bántódásuk,entah,danneggia,,verbergt,skader,ucierpią przez,magoar,ii,,ogrozi,повреди,skadar,,tổn,隐瞒
127,زهاء,някак,nekako,,tanken,irgendwie,κάπως,somehow,alguna,suutäie,suupalasta,façon,איכשהו,okusiš,fizetned,,qualche modo,料金,hap,pris,,algo,cumva,заплатить,nekako,,tugga,,bất,要付
128,,помисли,,nějaký,troede,dachte,τρόπο,somehow,alguna,millegipärast,osasi,sorte,ואיכשהו,,valahogy,entah,,こなし,bewerkstelligen,fantasi,przez,dava-lhe,îmbrace,почему-то вбил,smehljati,osmehuje,därför,şekilde,diện,不知
129,يُبطئني,помислил,razloga,nějakého,,,τρόπο,somehow,alguna,millegipärast,jostakin,freinera,,razloga,valamiért,melambatku,alcun,平気,tegenhouden,,,acaso,încetini,почему-то,nekako,razloga,vis,nedense,cản bước,阻碍
130,,нещо,nešto,,noget,was,κάτι,anything,algo,miski,,quelque chose,משהו,išta,bármi,sesuatu,qualcosa,何,iets,noe,coś,algo,ceva,что-то,kaj,nešto,någon,şey,,你发
131,,нещо,nešto,,,was,κάτι,something,algo,,jokin,quelque chose,משהו,nešto,valami,sesuatu,una cosa,もの,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,nått,bir şey,thứ gì đó,
132,أى,нещо,nešto,požádá,noget,,κάτι,anything,algo,miski,mikään,tout,משהו,nešto,valami,sesuatu,qualcosa,たり,iets,noe,coś,algo,ceva,что-нибудь,kaj,nešto,någon,şey,làm gì,有所 企图
133,شيء,нещо,nešto,něco,,etwas,κάτι,anything,algo,miski,jokin,chose,משהו,nešto,valami,sesuatu,serva,,,noe,coś,algum coisa,ceva,что-то,kaj,nešto,någon,şey,gì,要帮忙
134,أى,нещо,nešto,něco,noget,irgendetwas,κάτι,anything,algo,,jokin,quelque chose,משהו,nešto,bármi,hal,qualcosa,こと,iets,noe,cokolwiek,algo,,что-нибудь,kaj,nešto,någon,,điều gì,有什 么
135,شيء ما,нещо,nešto,,noget,was,κάτι,anything,algo,miski vajama,jokin,,למשהו,nešto,bármi,sesuatu,qualcosa,何,,noe,coś,algo,ceva,что-то,kaj,nešto,någon,,gì cứ nói,
136,,нещо,,něco,noget,irgendwas,τίποτα,anything,algo,miski,jokin,truc,משהו,što,valami,sesuatu,qualcosa,何,hebt,noe,coś,algum coisa,ceva,что-то,kaj,nešto,någon,şey,gì,什 么
137,مكروه,нещо,nešto,něco,noget,etwas,κάτι,anything,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,,何,iets,noe,cokolwiek,algum coisa,ceva,что-то,kaj,nešto,någon,şey,gì,要是
138,شيء,нещо,nešto,něco,noget,etwas,κάτι,something,algo,miski,jokin,chose,משהו,nešto,valami,makhluk,,か,iets,noe,coś,coisa,altceva,кто-то,kdo,nešto,någon,şey,thứ gì,东西
139,,нещо,nešto,něco,noget,etwas,,anything,cualquier,miski,ilmoita,quelque chose,משהו,što,bármi,ada,qualcosa,何,iets,noe,coś,algum coisa,ceva,что-то,kaj zgodi,nešto,någon,,chuyện gì,找我
140,شيء,всичко,sve,,alt,alles,οτιδήποτε,anything,nada,miski,,tout,הכי,sve,mindennél,apa pun,niente,も,,noe,wszystko,qualquer coisa,orice,всё,vse,sve,,şey,bất cứ thứ gì,
141,أى,нищо,ništa,,noget,,τίποτα,anything,nada,miski,mikään,rien,שום דבר,ništa,semmi,apapun,niente,何 も,nergens iets,noe,nic,nada,nimic,ничто,,ništa,ingen,şey,gì,
142,شيء,нещо,nešto,,noget,was,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,,か,iets,noe,coś,algo,ceva,что-нибудь,kaj,nešto,någon,şey,gì,点 什
143,شيء,нещо,nešto,,noget,,κάτι,anything,nada,miski,,rien,דבר,ništa,ilyet,,nulla,もの,zoiets,noe,oglądaliśmy,nada,ceva,ничто,kaj,ništa,någon,şey,,从来没见
144,شيء ما,нищо,ništa,,noget,nichts,τίποτα,anything,nada,miski,mikään,rien,כלום,ništa,semmi,apa-apa,niente,何 も,niks,ingenting,nic,nada,nimic,ничто,nič,ništa,ingenting,şey,gì,都
145,شيء ما,,,malé,ingenting,nichts,τίποτα,anything,nada,miski,mikään,ignare,כלום,ništa,ennyit,apa-apa,dirti tutto,何 も,helemaal niets,ingenting,ogóle,nada,nimic,ничто,nič,pojma,ingenting,şey,gì,
146,شيء ما,нищо,ništa,nedělala,intet,nichts,τίποτα,anything,nada,miski,mikään ihmeellistä,rien,כלום,ništa,semmi máshogy,apapun,niente,何 も,helemaal niets,,,nada,nimic,,nič,ništa,ingenting,hiçbir şey,gì,我什 么也
147,أى,нищо,nešto,něco,noget,irgendwas,κάτι,anything,nada,miski,mikään,rien,,nešto,semmi,,niente,,wat,noe,nic,nada,,ничто,nič,nešto,någon,,thứ gì,東西
148,الشئ,нещо,ništa,nic,nogen,was,κάτι,anything,algo,miski,mikään vastaavaa,rien,דבר,ništa,hasonlót,,simile,こと,zoiets,noe,coś,nada,ceva,ничто,nič,ništa,någon,şey,thứ gì,
149,أى,нищо,ništa,,ingenting,,τίποτα,anything,nada,miski,mikään,rien,דבר,ništa,semmi,apa-apa,niente,何 も,niks,noe,rzekł,nada,niciun,ничто,nič,ništa,ingen,şey,gì cả,么也
150,شيء,,ništa,,noget,,τίποτα,anything,nada,miski,mikään,rien,כלום,ništa,semmi,,niente,何 も,niets,noenting,nic,nada,nimic,ничто,nič,ništa,ingenting,şey,gì cả,
151,أى,нищо,ništa,nic,noget,nichts,τίποτα,anything,nada,miski,mikään,rien,כלום,ništa,hely,,niente,何,niets,noe,nic,nada,nimic,ничто,nič,ništa,ingenting,şey,gì cả,什麼 都
152,شيء ما,чудо,nešto,,noget,etwas,κάτι,anything,nada,miski,vastaavaa,,דבר,što,olyat,,genere,も,zoiets,noe,coś,coisa,ceva,ничто,česa,nešto,någon,şey,thứ gì,
153,شيء,нищо,ništa,nic,noget,nichts,τίποτα,anything,nada,miski,mikään,rien,דבר,ništa,semmi,,niente,何 も,niks,noe,nic,nada,nimic,,nič,ništa,någon,şey,gì,东
154,شيء,,ništa,,sløret,nichts,τίποτα,anything,nada,mingeid vihjeid,mikään,rien,כלום,ništa,semmi,,niente,何 も,niets,noe,wszystko,nada,nimic,ничто,nič,ništa,någonting,hiçbir şey anlatmayacak,điều gì,么也 不能告
155,,нищо,ništa,,intet,nichts,τίποτα,anything,nada,miski,,courant,כלום,ništa,semmi,apa-apa,niente,事,niets,noe,nic,nada,nimic,ничто,nič,ništa,ingenting,şey,gì,
156,شيء ما,нищо,ništa,,noget,nichts,τίποτα,anything,nada,miski,mikään,rien,כלום,ništa,semmi,apa-apa,volete,何 も,niks,ting,nic,nada,nimic,,,,​​vet,şey,gì cả,
157,شيء ما,нищо,ništa,nic,intet,nichts,τίποτα,anything,nada,miski,mikään,rien,כלום,ništa,semmi,sesuatu,niente,何 も,niets,noe,nic,nada,nimic,ничто,nič,ništa,någonting,şey,gì,anything
158,شيء,,ništa,,noget,nichts,τίποτα,anything,nada,miski,mikään,rien,כלום,ništa,semmi,apa-apa,niente,何 も,niets,noe,nic,nada,nimic,ничто,nič,ništa,ingenting,,gì,何 东 西
159,,нищо,nešto,,noget,nichts,τίποτα,anything,nada,miski,mikään,,משהו,nešto,semmi,apa-apa,niente,,,noe,nic,nada,nimic,ничто,nič,nešto,ingen,şey,điều gì,什
160,شيء,нищо,ništa,,noget,nichts,τίποτα,nothing,nada,mitte miski,mikään,rien,כלום,ništa,,ada,niente,も 何,niets,ingenting,nic,nada,nimic,ничто,nič,ništa,ingen,yok,gì,
161,شيء ما,нищо,ništa,,ingenting,nichts,τίποτα,nothing,nada,miski,mikään,rien,דבר,ništa,semmi,,niente,何 も,niks,ingenting,nic,nada,nimic,ничто,nič,ništa,ingenting,şey,,么也
162,شيء,нищо,ništa,nic,noget,nichts,τίποτα,nothing,nada,miski,mikään,rien,כלום,ništa,semmi,tidak ada,niente,,niets,ingenting,nic,nada,nimic,ничто,nič,ništa,ingenting,,,没什 么
163,يدعو,няма,nemaš,čeho,noget,,δεν,nothing,nada,,ei mikään,aucune,אין,,nincs mitől,tak ada,c'è,こと,niets,noe,,não,n-ai,нечто,nič,nema razloga,ingen,şey yok,,没什 么
164,,какво,nemaš,nemá,intet,nichts,,nothing,nada,miski,mikään,aucune,ממה,nemaš čega,,tak,nulla,無,nergens,ingenting,co,não,n-ai,,nič,što,inte,yok,gì,不是
165,شيء,,ništa,,intet,nichts,τίποτα,nothing,nada,miski,mikään,rien,שום דבר,ništa,semmi,apa-apa,,何,,ingenting,nic,nada,nimic,,nič,ništa,ingen,şey yok,gì,没有
166,شيء,нищо,ništa,,intet,nichts,τίποτα,nothing,nada,miski,,rien,אין דבר,ništa,semmi,tidak ada,niente,呆れ,met,ingenting,nic,nada,nimic nu,ничто,najbolj,ništa,ingen,hiçbir şey,không gì,最令
167,شيء,нищо,ništa,,intet,nichts,τίποτα,nothing,nada,,mikään,rien,כלום,ništa,semmi,tidak ada,niente,有,niets,ingenting,nic,nada,nimic,ничто,nič,ništa,ingen,yok,,一无
168,شيء,нищо,ništa,,ingenting,nichts,τίποτα,nothing,,miski,mikään,rien,דבר,ništa,semmi,tak ada,niente,事 でき,niets,ingen ting,nic,nada,,ничто,nič,ništa,ingen,,,谁也
169,للخوف,какво,,,intet,nichts,τίποτα,nothing,nada,miski,ei,rien,,,semmi,apa,niente,も,niets,ingenting,co,nada,nu,нечто,nič,što,ingen,korkuyorsun,,没什 么
170,شيء,не,,nic,intet,nichts,τίποτα,nothing,nada,ei,ei,rien,,,semmi,tidak,niente,,nee,ingenting,nic,nada,nimic,ничто,nič,ništa,ingenting,değil,không,没有
171,شيء,нищо,ništa,nic,noget,nichts,τίποτα,nothing,nada,mitte miski,mikään,rien,כלום,ništa,semmi,tak ada,niente,別,niks,ingenting,nic,nada,nimic,ничто,nič,ništa,ingeting,şey yok,,没事
172,شيء,няма,ništa,nemá,intet,nichts,τίποτα,nothing,nada,miski,mikään,rien,כלום,ništa,semmi,,niente,何 も,niks,ingenting,nic,nada,nimic,ничто,nič nimaš,ništa,ingenting,hiçbir şey yok,,无
173,يدعو,няма,ništa,není,intet,grund,τίποτα,nothing,nada,pole,ei,ne,אין,ništa,nincs,tak,non,な,niks,ingenting,ma,nada,nu,беспокойтесь,brez,,ingen,şey yok,không,没什 么
174,,,ništa,,intet,nichts,τίποτα,nothing,nada,miski,mikään,rien,שום דבר,ništa,semmi,tak ada,niente,も,niets,ingenting,ani,nada,nimic,ничто,nič,ništa,,hiçbir şey,,没
175,شيء,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,miski,mikään ei,rien,שום דבר,ništa,semmi,tak ada,niente,,niets,ingen,nic,nada,nimic nu,ничто,nič,ništa,ingenting,hiçbir şey,không gì,没有 东
176,شيء ما,,ništa,nic,intet,nichts,τίποτα,nothing,nada,miski,,ne,דבר,ništa,semmi sem,,niente,,nergens,ingenting,nic,nada,nimic,ничто,nič,nitko,ingen,hiçbir,gì cả,么 都
177,شيء,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,miski,ei,rien,דבר,ništa,semmi,ada,niente,,niets,ingenting,nic,nada,nimic,никто,izgubil vse,ništa,ingenting,,gì cả,无 所有
178,نكرة,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,tühi,mikään,rien,שום דבר,ništa,senki,siapa-siapa,nulla,,niets,ingenting,nic,nada,nimic,никто,nič,ništa,ingenting,hiçbir şey,,什 么 都
179,شيء ما,нищо,ništa,nic,noget,nichts,τίποτα,nothing,nada,miski,mikään,rien,כלום,ništa,teszünk semmi,tidak,niente,何 も,niets,noe,nic,nada,nimic,,nič,učinimo ništa,ingen,hiçbir şey,gì,
180,شيء,нещо,nešto,něco,,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,,wat,noe,coś,algum coisa,ceva,что-нибудь,kaj,nešto,någon,bir şey,gì,
181,شيء,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,miski,mikään,rien,אין דבר,ništa,semmi sem,,niente,,niets,ingenting,wszystko,nada,nimic nu,,nič,ništa,ingen,,,没有 什 么 东
182,شيء ما,нищо,ništa,nicka,intet,nichts,τίποτα,nothing,nada,tühi,mikään,rien,דבר,ništa,semmi,tak,niente,,niets,ingenting,nic,nada,nimic,ничто,nula,ništa,ingen,hiçbir şey yok,,
183,شيء ما,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,mitte miski,mikään,rien,,ništa,semmi,,niente,何 も 残,niets,noe,nic,nada,nimic,ничто,nič,ništa,ingenting,hiçbir,,
184,شيء,нищо,ništa,nic,ikke,nichts,τίποτα,nothing,nada,miski,ole,rien,נשאר,ništa,,apa-apa,niente,何 も な,niets,ikke noe,,nada,nimic,,nič,ništa,ingen,şey yok,,没
185,شيء,нищо,ništa,nic,noget,nichts,τίποτα,nothing,nada,miski,ei ole mikään,rien,,ništa,semmi,tak ada,niente,何 も,niets,ingenting,nic,nada,nimic,ничто,nič,ništa,ingen,şey yok,,沒找
186,شيء,нищо,nitko,nemá,intet,nichts,,nothing,nada,pistmist,ole mitään,rien,,nikakve,semmi,kaitannya,niente,,niets,noe,nic,nada,nimic,виновата,nič,nikakve vese,ingen,alakası yok,gì hết,不是 因
187,شيء,нищо,ništa,nic,ingenting,nichts,τίποτα,nothing,nada,mitte miski,mikään,rien,שום דבר,ništa,semmi,tidak ada,niente,,niets,ingenting,nic,nada,nimic,ничто,nič,ničeg,ingen,hiçbir şey,,没什 么
188,,нищо,ništa,nic,noget,nichts,τίποτα,nothing,nada,miski,mikään,rien,כלום,ništa,semmi,tidak ada,niente,もの,niets,ingenting,nic,nada,nimic,ничто,nič,ništa,ingen,şey değil,không gì cả,什 么 没什 么
189,شيء,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,miski,ei,,שום דבר,ništa,semmi,ada apa-apa,niente,も 何 も,niets,noe,nic,nada,nimic,ничто,nič,nitko,ingenting,hiçbir şey yok,gì cả,什 么也 没
190,بدون,безплатно,besplatno,nic,gratis,umsonst,τζάμπα,nothing,dé gratis,tasuta,ilmaiseksi,rien,דבר,badava,ingyen,gratis,cederò,,gratis,gratis,nic,borla,gratis,даром,podaril,džabe,gratis,,,费
191,بدون,не,ništa,,noget,nichts,τίποτα,nothing,sin,,mikään,,דבר,ništa,,bukan,niente,ただ,niets,noe,nie,nada,nimic,без,,ništa,ingen,şey,gì cả,不是
192,شيء,нищо,ništa,,ingenting,nichts,τίποτα,nothing,nada,miski,mikään,rien,,ništa,semmi,,niente,も,niks,ingenting,nic,nada,nimic,ничто,nič,ništa,ingen,hiçbir şey,,没事
193,شيء,няма,ništa,nic,noget,nichts,τίποτα,nothing,nada,miski,,rien,דבר,ništa,sem,ada,niente,こと,niets,ingenting,,nada,nimic,ничто,nič,ništa,ingen,şey yok,gì,没什 么
194,شيء,нищо,šta,nic,,etwas,τίποτα,anything,nada,miski,mikään,rien,דבר,što,semmi,hal,nient'altro,こと,iets,noe,coś,nada,nimic,,nič,,någon,hiçbir şey,gì,
195,يوجد,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,,,aucune,שום דבר,pametnijeg,,bukan,niente,こと,niets,ingenting,nic,nada,,ничто,nič,ništa,ingen,şey yok,,没有
196,,нищо,,zbytečně,ingenting,umsonst,μάταια,nothing,nada,miski,mikään,rien,לשווא,ništa,,sia,niente,も,niets,ingenting,,nada,van,ничто,zaman,uzalud,ingen,,vô,斃
197,شيء,нищо,ništa,nic,noget,nichts,τίποτα,nothing,nada,miski,mikään,rien,כלום,ništa,semmi,tidak ada,niente,別,niets,ingenting,nic,nada,nimic,ничто,nič,ništa,ingenting,hiç,,没事
198,ليس,,ništa,nic,,nichts,,nothing,nada,miski,mikään,rien,כלום,,semmi,tidak,niente,も,niks,ingenting,nic,nada,nimic,пусто,nič,ništa,någon,hiçbir şey yok,,没有
199,ليس,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,miski,ole mitään,rien,אין,ništa,nincs,tidak ada,niente,も 何 も な,niets,ingenting,,nada,nu,ничто,nič,nemamo,ingen,şey,,没
200,شيء,нищо,ništa,,intet,nichts,δεν,nothing,nada,miski,mikään,rien,דבר,ništa,semmi,tidak ada,nulla,何 も,niets,ingen ting,nic,nada,,,,ništa,ingenting,hiçbir şey,,都
201,شيء,нищо,ništa,,intet,nichts,τίποτα,nothing,nada,mitte miski,mikään,rien,שום דבר,ništa,semmi,tak ada,niente,,niets,ingenting,nic,nada,nimic,ничто,nič,ništa,ingenting,hiçbir şey,,一无
202,,,čega,čeho,intet,nichts,τίποτα,nothing,nada,miski,ole,rien,אין ממה לפחד,,mitől,tiada,abbiate,,niets,ingenting,co,nada,nu,нечто,nič,nemate šta,ingen,şey yok,gì,没什 么
203,,нищо,ništa,nic,nothing,nichts,τίποτα,nothing,nada,pole,,rien,דבר,ništa,semmi,ada,niente,もの,niets,ingenting,nic,nada,nimic,ничто,nič,ništa,ingen,şey,gì,世上
204,شيء,нищо,ništa,prázdné,,nichts,τίποτα,nothing,nada,pole,ei ole mikään,rien,אין שום דבר,nemam ništa,ürsek,tak ada apapun,niente,も,niks,ingenting,,nada,nimic,пусто,,ništa,ingen,şey,,没有
205,شيء ما,нищо,ništa,,noget,nichts,τίποτα,nothing,nada,miski,ei mikään,rien,משהו,ništa,semmi,,niente,有,niks,noe,nic,nada,nimic,ничто,nič,ništa,ingen,şey yok,,没有
206,,нищо,ništa,nic,,nichts,τίποτα,nothing,nada,ei miski,ei mikään,rien,שום דבר,ništa,senki,tidak ada,niente,,niets,ingenting,nic,nada,nimic,ничто,nič,ništa,någon,hiçbir,,没什 么
207,شيء ما,нищо,ništa,,noget,,τίποτα,nothing,nada,miski,mikään,rien,שום דבר,ništa,semmi,apa pun,niente,何,niets,noe,nic,nada,nimic,ничто,nič,ništa,ingen,,,东
208,شيء ما,няма,čega,,ikke,nichts,τίποτα,nothing,nada,miski,,rien,אין,više,nincs,tidak,nulla,何 も,niets,ikke,co,nada,nu,больше,ni,što,inte,hiçbir,,无 所有 没什 么
209,شيء,,ništa,,noget,,κάτι,nothing,nada,miski,tuttua,rien,משהו,ništa,semmi,belum,niente,,niets,noe,nic,nada,nimic,,nič takega,ništa,ingen,şey,không có gì,没有 什 么
210,شيء,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,pole miski,ole mitään,rien,,ništa,nincsen semmim,,niente,も,niets,ingenting,nic,nada,nimic,ничто,nič nimam,ništa,ingen,şey yok,,么也 没有
211,شيء,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,miski,ei mikään,rien,שום דבר,ništa,semmi,tidak ada,niente,何 も,niets,ingenting,nic,nada,nimic,ќичего,nič,ništa,ingenting,hiçbir şey,chẳng,没感
212,,нищо,ništa,nic,intet,nichts,τίποτα,nothing,,miski,ole mitään,rien,אין,ništa,semmi,tidak ada,nulla,もの,niets,ingenting,,nada,,ничто,nič,ništa,ingen,hiçbir şey yok,gì,费
213,أى,нищо,ništa,nicjiného,noget,nichts,κάτι,anything,nada,miski,mikään,rien,משהו,ništa,semmi,apapun,ricordare,何,,noe,nic,nada,nimic,ничто,nič,ništa,någon,şey,bất cứ điều gì,任 何
214,أى,нищо,ništa,,noget,,τίποτα,anything,nada,miski,mikään,rien,,ništa,semmi,,niente,何 も,niets,noenting,nic,nada,nimic,ничто,nič,ništa,någon,şey,gì hết,什麼 都
215,يدعو,нищо,ništa,nic,ingenting,nichts,τίποτα,nothing,nada,tühiasi,,rien,שום דבר,ništa,semmi,parah,niente,こと,niets,ingenting,nic,nada,nimic,ничто серьезного,nič,ništa,ingenting,değil,không,没事
216,لاشئ,нищо,ništa,nic,intet,nichts,τίποτα,nothing,nada,miski,mikään ole,rien,שום דבר,ništa,semmi,apa-apa,niente,,niets,ingenting,,nada,nimic,ничто,nič,ništa,ingenting,yok,,没事
217,شيء,,ništa,nic,,nichts,,nothing,nada,mitte,mikään,rien,כלום,ništa,senki,bukan,niente,な,niks,ingenting,nic,nada,nimic,ничто,nič,ništa,ingenting,,,什 么 都 不是
218,شيء,нищо,ništa,nic,ikke,nichts,τίποτα,nothing,más,miski,pelkästään,rien,,ništa,semmi,tak,nient'altro,ただ,niets,ingenting,nic,apenas,altceva,что,,ništa,ingen,şey,,
219,أى,всичко,,,alt,alles,πάντα,anything,sea,iganes,kaikkesi,tout,הכל,sve,bármi,apapun,,,alles,,wszystko,farás tudo,orice,всё,vse,utsiniti,vadsomhelst,her şey,mọi,任 何事
220,أى,всичко,bilo,,alt,alles,πάντα,anything,sea,iganes,kaikkensa,tout,הכל,sve,bármi megtenne,apapun,,,alles,alt,wszystko,tudo,orice,,vse,bilo,allt,her şey,mọi thứ,
221,شيء,каквото,sve,cokoliv,,alles,τιδήποτε,anything,sea,kõik,tahansa,tout,דבר,sve,bármi,apa pun,tutto,って,alles,noe,wszystko,tudo,orice,всё,vse,sve,helst,her şey,chuyện gì,何
222,أى,всичко,sve,cokoliv,helst,alles,πάντα,anything,sea,soovite,vain,quelque chose,כל דבר,sve,mindent,apa saja,tutto,,alles,helst,chcesz,,,угодно,vse,sve,,her şey,hết mọi thứ,什 么 都
223,أى,всичко,sve,cokoliv,alt,alles,πάντα,anything,cualquier cosa,kõik,vain,tout,הכל,sve,,apa saja,qualsiasi,,alles,helst,wszystko,tudo,orice,,vse,sve,,her şey,gì,任 何事
224,أى,всичко,ono,něco,lige,was,όποια,anything,lo,kes iganes,tahansa,tout,כל דבר,što god,ami,apapun,qualsiasi,,wat,akkurat,cokolwiek,quiseres,orice,кто,kar,šta god,vad,her şey,bất cứ,为任 何
225,,каквото,god,cokoliv,lige,alles,οτιδήποτε,anything,lo,minult,ihan,tout,,što god,bármi,apa saja,tutto quello,何,wat,helst,zechcesz,,orice,,kar,pitash,vad,her,,任 何
226,أى,всичко,sve,cokoliv,alt,alles,πάντα,anything,sea,ükskõik,tahansa,,,sve,mindent,apapun,tutto,も,,alt,wszystko,tudo,orice,всё,vse,sve,allt,her şey,bất cứ gì,
227,شيء,направила,sve,,alt,alles,πάντα,anything,cualquier cosa,,vain,,,sve,bármi,apapun,qualsiasi,何,alles,absolutt alt,wszystko,qualquer coisa,orice,всё,vse,uchinila sve,allt,yaparım,mọi điều,任 何
228,شيء,,sve,cokoliv,helst,alles,οτιδήποτε,anything,sea,ükskõik,vain,n'importe,הכל,sve,bármi,apapun,qualunque,も,alles,,wszystko,,orice,всё,karkoli,bilo šta,helst,her şey,cả mọi thứ,任 何事
229,شيء,,sve,,helst,etwas,πάντα,anything,cualquier,kõik,vain,naïfs,דבר,sve,hiszékenyek,apa saja,tutto,,alles,alt,,qualquer coisa,orice,пoвepят,lahkoverni,sve poverovati,allt,her şeye,gì,何事
230,أى,някой,nešto,,noget,etwas,κάτι,anything,algo,mingeid,mikään,chose,משהו,nešto,semmi,sesuatu,qualche,,niets,noe,nic,nenhuma,comiţi,,česa,nešto,någon,şey,chuyện gì,
231,شيء,нещо,nešto,něco,noget,,κάτι,something,algo,miski,,quelque chose,משהו,nešto,valami,ada,qualcosa,,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,,bir şey,gì đó,東西
232,أى,нищо,ništa,nic,noget,,τίποτα,anything,nada,miski,mikään,,שום דבר,ništa,semmi,apapun,niente,何 も,niets,noe,nic,nada,nimic,ничто,nič,ništa,någon,şey,thứ gì hết,都
233,شيء ما,нищо,ništa,,ingenting,nichts,τίποτα,anything,nada,miski,mikään,rien,כלום,ništa,semmi,,nulla,も,niets,ingenting,nic,nada,nimic,ничто,nič,ništa,ingenting,şey,gì cả,
234,شيء,,ništa,nic,noget,nichts,τίποτα,anything,nada,juhtunud miski,käydä,passé,כלום,ništa,bármi,sesuatu,niente,,niets,noe,coś,nada,,что-то,nič,bilo šta,ingenting,şey,gì,
235,شيء ما,нещо,nešto,,noget,irgendetwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,何 か あ,iets,noe,coś,algum coisa,ceva,что-то,nekaj,nešto,någon,bir şey,gì đó,
236,شيء ما,нещо,nešto,,noget,etwas,θέαμα,something,algo,miski,jokin,quelque chose,משהו,nešto,,yang,vedranno,何 か,,noe,coś,algo,ceva ce,нечтo,nekaj,nešto,någon,bir,điều,
237,شيء,нещо,,něčem,noget,was,κάτι,something,algo,miski,jokin,quelque chose,משהו,nečemu,valami,sesuatu,qualcosa,か,ergens,noe,coś,algo,ceva,что-нибудь,nečem,nečemu,någon,şey,gì,什
238,,нещо,nešto,nějaký,noget,etwas,κάτι,something,algo,miski,jokin,un truc,משהו,nešto,valami,sesuatu,qualche,,iets,noe,coś,uma,,,kakšno,nešto,någon,bir şey,một điều gì đó,件
239,شيء ما,нещо,nešto,,noget,etwas,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,,iets,noe,coś,algum coisa,ceva,что-нибудь,,nešto,någon,bir şey,gì,
240,شيء ما,нещо,nešto,,noget,was,κάτι,something,algo,miski,jokin,chose,משהו,nešto,,makhluk,qualcosa altro,何 か,iets,noe,coś,algum,ceva,что-нибудь,kaj,nešto,någon,bir şey,thứ,动
241,شيء,нещо,nešto,něco,noget,was,κάτι,something,algo,miski,jokin,quelque chose,משהו,nešto,valami,sesuatu,qualcosa,か,wat,noe,,algo,ceva,что-то,kaj,nešto,någon,bir şey,một vài thứ,
242,شيء,нещо,nešto,něco,der,gibt,κάτι,something,algo,miski,,quelque chose,משהו,nešto,,ada,dell'altro,,iets,noe,,algum,altceva,что-то,kaj,nešto,någon,,gì,什
